Stat	Net	Cha	Lo	Start time	End time	Lat	Lon	Elev
ME89	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.383701	-121.162598	796.0
ME89	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.383701	-121.162598	796.0
ME90	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.478199	-120.845901	1507.0
ME90	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.478199	-120.845901	1507.0
ME90	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.478199	-120.845901	1507.0
ME91	XQ	BHE	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.6502	-120.224602	1551.0
ME91	XQ	BHN	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.6502	-120.224602	1551.0
ME91	XQ	BHZ	01	2007/09/19,00:00:00	2009/12/31,00:00:00	39.6502	-120.224602	1551.0
ME92	XQ	BHE	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.4725	-120.040802	2555.0
ME92	XQ	BHN	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.4725	-120.040802	2555.0
ME92	XQ	BHZ	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.4725	-120.040802	2555.0
ME93	XQ	BHE	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.051601	-120.1548	2020.0
ME93	XQ	BHN	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.051601	-120.1548	2020.0
ME93	XQ	BHZ	01	2007/09/18,00:00:00	2009/12/31,00:00:00	39.051601	-120.1548	2020.0
