Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
BDM	BK	BHZ	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BHZ	0	40.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLE	--	20.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	20.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLE	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	BLN	--	20.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	20.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLN	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	BLZ	--	20.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	20.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	20.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	20.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	20.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	20.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	BLZ	--	40.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHE	--	100.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHE	0	100.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HHN	--	100.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHN	0	100.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HHZ	--	100.0000000	1998/11/12,00:00:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HHZ	0	100.0000000	2011/01/13,19:30:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLE	--	100.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLE	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HLN	--	100.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLN	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	0.0	0.0
BDM	BK	HLZ	--	100.0000000	1998/11/12,00:00:00	1998/12/03,21:35:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	1998/12/03,21:35:00	1999/09/30,20:45:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	1999/09/30,20:45:00	1999/12/03,19:26:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	1999/12/03,19:26:00	2000/03/06,00:01:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	2000/03/06,00:01:00	2000/08/08,16:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	2000/08/08,16:00:00	2004/06/15,00:00:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HLZ	--	100.0000000	2004/06/15,00:00:00	2011/01/13,19:30:00	37.95397	-121.86554	219.8	34.7	-90.0	0.0
BDM	BK	HNE	0	100.0000000	2011/01/13,19:30:00	2015/12/08,22:15:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
BDM	BK	HNE	0	100.0000000	2015/12/08,22:15:00	3000/01/01,00:00:00	37.95397	-121.86554	219.8	34.7	0.0	90.0
